Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
no;i trust konga and konga is the Nigeria largest online mall ;Phone and Tablet Accessories;KWK & SHQ;Desktop Web
When i'm not allowed to open my product at point of collection. I bought Lenovo IPad with you people Jan 2015 but did not last for more than three months. ;I will recommend that Konga should moderate the price of things sold on Konga and the quality of the commodity. In that way you will have TRUST and  more customers.   ;Home Theatres and Audio Systems;SHQ;Desktop Web
I have to make different orders when ordering from Konga directly and other vendors on the platform.  Whereas Konga products came swiftly with the express delivery, the other items did not have express delivery and came on different days though within the stated time frame.;I've only just started using the platform. I expect to leave suggestions later after I evaluate the products I ordered.;Large Appliances;KWK & SHQ;Desktop Web
It was wen my wife put to bed, i made oders from Konga which is kiddies, but all they brought to me was undersize clothe and unqualitative material. That is ol i experience ;My recommendation to Konga, they should improve and be prompt in their delivery timing and quality product ;DVD Players;SHQ;Mobile Web
;;Personal Care;SHQ;Mobile Web
changing my orders;May be it would be helpful for someone to be able to not only view his orders but to access them again should in case he is interested in a different product or just checking for a better one;Electronic Accessories;SHQ;Desktop Web
;;Large Appliances;SHQ;Konga App
;I brought a Bluetooth headset which was bad,I called the man in charge of the product and informed him.he said he was going to call back but didn't.when I called back he was like who is this?;Phone and Tablet Accessories;SHQ;Mobile Web
delivery;ok;Phone and Tablet Accessories;SHQ;Konga App
My item was not deliverer in full. ;Items chopped together should be delivered together;Mobile Phones;KWK & SHQ;Desktop Web
Searching the product;You have to work having more varieties ;Small Appliances;SHQ;Desktop Web
in returning of goods purchased ;they can improve on the quality of goods to be sold;Women's Wear;SHQ;Konga App
Konga pay ;;Men's Wear;KWK;Desktop Web
At my first order.;okay ;Mobile Phones;SHQ;Desktop Web
Never;Konga should try and make thier shipping fast and in fewer days.;Hair Centre;SHQ;Mobile Web
Point of delivery;Shipping fee is extremely much;Mobile Phones;KWK;Mobile Web
not really;I don't have any comment now.;Home Theatres and Audio Systems;SHQ;Mobile Web
When they charged me over N1500 shipping fee for a N1000 item;Reduction on the prices of some items just as they are in shops. Shipping fees are sometimes high.  Some items are not on konga for sale  eg, I wanted purchasing Jergens 3 days to glow and I didn't find it;Women's Wear;SHQ;Konga App
It was only delayed before it was delivered ;It a good product and most also it relief stress in going to market to get it ur self.;Mobile Phones;KWK;Desktop Web
;;Mobile Phones;KWK;Mobile Web
Website app not responding ;;Generators & Power Supplies;SHQ;Desktop Web
;;Tablets;SHQ;Konga App
;;Computing Accessories;SHQ;Desktop Web
Delivery ;They don't deliver as promised.;Konga Fashion;KWK;Mobile Web
;;Mobile Phones;KWK;Desktop Web
Nil;Please the delivery charges are quit much revisit that aspect please.;Large Appliances;SHQ;Desktop Web
;;Mobile Phones;SHQ;Mobile Web
;;Makeup;SHQ;Konga App
Checking out the details of each products as well as locating them;Delivery fees and some products are quite expensive and sometimes outrageous, they discourage purchase from konga on most items which I would otherwise have purchased .;Hair Centre;SHQ;Mobile Web
No;No;Fitness;SHQ;Desktop Web
;;Cameras;SHQ;Konga App
PRICE CHANGE SOMTIMES;CUSTOMERS COULD DO A PICK UP TO REDUCE SHIPPING CHARGES;Women's Shoes;SHQ;Desktop Web
;;Large Appliances;SHQ;Mobile Web
;;Fitness;SHQ;Desktop Web
Delivery;Improve on website, delivery, and make customer support more accessible. ;Laptops;KWK;Mobile Web
Trying to fill my address  for transaction purpose     Your coupon codes is the greatest fallacy on Konga;Try attach a delivery fee for all products purchased   Delivery fee on each items purchased is more like fraud, it's really bad that the accumulated delivery fee sometimes is so huge that it even exceeds the sum price of item purchased     Customers will appreciate your efforts ;Watches;SHQ;Mobile Web
My order came in a wrong size and after return, i kept calling back & forth to get the right size delivered to me ASAP..This product was supposed to be used for a wedding but of course its yet to be delivered 5 days after the wedding..That is to say that am yet to receive a product that was reordered on 25th of April 2016.;No Comment;Women's Shoes;SHQ;Desktop Web
When only few of my items were delivered. ;Keep doing in good work. ;Safety and Security;SHQ;Mobile Web
No time;Keep it up, what a good company you are. ;Large Appliances;KWK & SHQ;Konga App
Delivery. This is possibly due to chaotic nature of our traffic and secondly, due to non-availability of the products;Solve timely delivery challenges.;Toys & Activities;SHQ;Desktop Web
;;Housekeeping & Pet Supplies;SHQ;Mobile Web
Non;Reduce the delivery time and fee  Thank you;Health;SHQ;Konga App
Delivery and customer care.;Overall a good performance.;Housekeeping & Pet Supplies;SHQ;Konga App
Using the a;When order is made through phone call, customer should be informed of the shipping fee.;Small Appliances;SHQ;Desktop Web
;;Phone and Tablet Accessories;SHQ;Desktop Web
;;Automotive Parts & Accessories;SHQ;Desktop Web
during promo;no comment;Men's Shoes;SHQ;Konga App
During delivery of my goods and using of my coupon;Make the KOS delivery company to sit up and keep to their promise and words and also make your website easily accessible to all thank you;Large Appliances;SHQ;Mobile Web
Delivery from Calabar to Obudu delayed unnecessarily because of logistics.It should be delivered a day after arrival in Calabar.;Logistics should be provided for prompt delivery to hither land especially Cross River State , where the journey from Obudu or Ogoja takes about 8 hours to Calabar.;Solar & Alternative Energy;SHQ;Konga App
Trying to get my items delivered on time.   ;They should work better on easy and fast delivery ;Large Appliances;KWK;Konga App
Delivery;;Housekeeping & Pet Supplies;SHQ;Konga App
None;;Stationery;KWK & SHQ;Desktop Web
Delivery ;;Small Appliances;SHQ;Konga App
Fear;Good work keep it on ;Televisions;KWK;Desktop Web
;;Large Appliances;KWK;Desktop Web
;;Personal Care;SHQ;Konga App
none ;dey should make dere customers 2 be able to use dere coupon code wen ever dey give dem;0;KWK;Konga App
Delivery ;Improve services;Watches;SHQ;Mobile Web
When they claimed they called my phone and I did not pick, and my order was returned;Weldone and keep it up ;Fitness;SHQ;Mobile Web
Delivery fee too high and poor communication system;Improve in delivery system;Phone and Tablet Accessories;SHQ;Mobile Web
None;Promote excellent low price goods;Small Appliances;KWK;Desktop Web
Collecting my ordered item ;;Games and Consoles;SHQ;Konga App
till now, i havent received my package. for two weeks nw. and they keep sendn me messages that they tried calling meanwhile i received no call.;;Small Appliances;KWK;Mobile Web
the delivery man was just concerned with payment. without giving auience to customer's complaint or advise on service improvement;late delivery, unfriendly approach of the delivery man. ;Large Appliances;SHQ;Desktop Web
;;Musical Equipment;SHQ;Konga App
I never got my orders delivered to my doorstep because it takes more time. ;;Mobile Phones;KWK;Mobile Web
No difficulty except when searching for some items on the site.;Delivery fee for small items should be reviewed downwards. ;Safety and Security;SHQ;Konga App
;;Hair Centre;SHQ;Desktop Web
The delivery was late. Then one of the items I ordered was broken (portable sewing machine), hence I cannot even use it. I only discovered this when I opened the package inside the house. Unfortunately the delivery agent had already left;Konga should try and re-check the order (especially machines) when it arrives from seller, before finally sending it to the buyer;Tools;SHQ;Mobile Web
Waited for a product to arrive but couldn't wait much longer, so I had to Cancel the transaction ;Konga is one of the best online shopping company that I have ever did business with, and I appreciate and enjoy shopping with them. You need to improve more on delivery outside outside Lagos. If the delivery can take up to 48 hrs it will be good business between Konga and the customer rather than taking much time  ;Mobile Phones;SHQ;Desktop Web
;;Large Appliances;SHQ;Desktop Web
;;Games and Consoles;SHQ;Mobile Web
;Please reduce your shipping fee   ;Kids Clothing and Accessories;SHQ;Mobile Web
most difficulty experienced when receiving goods especially. multiple orders should be organized and consolidated as best as possible especially when delivery times are within the same time bracket. this saves us both time and resources.;As mentioned above, multiple orders even if from different suppliers should be consolidated as best as possible (at every point in transit). This will save on transport/logistics/delivery costs, time and effort on both our parts. Still a good job though. I'd recommend you guys still on still.  ;Tools;SHQ;Desktop Web
A slim metal of about 2cm  dropped out of the package ànd the delivery man didn't know who to call for explanation.   Also, the delivery man fidgeted with the POS and constrained us to pay cash.  Lastly, the product has two disappointing dents.;;Large Appliances;KWK;Desktop Web
When using kongapay.;;Women's Accessories;SHQ;Desktop Web
;;Mobile Phones;KWK;Konga App
Getting a feedback after sending an email is near impossible. I had stated my displeasure at the state of delivered goods and those that where cancelled due to delay on the sellers part, I'm yet to get a reply. I'm supposed to get a refund for the food that I paid for which was cancelled. I didn't even know it was cancelled if I hadn't called. I hope I'd get a reply after this. Thank you ;;Kitchen and Dining;SHQ;Mobile Web
The prices;The shipping cost should be reduced. Also, the cost of goods/items more often is higher compared to some other online store.. Apart from this, Konga has a better service and fantastic delivery method..;Mobile Phones;KWK;Desktop Web
Calling the customer care line is something else.Also ;;Small Appliances;KWK & SHQ;Desktop Web
Delivery ;More work on tracking deliveries ;Furniture;SHQ;Mobile Web
The product I received wasn't what I ordered for ;Jumia is losing customers because, what most customers order for, is exactly what they want, they want the specific colour the specific size, and specific quality stipulated, and the brand displayed On the website.... they are fond of giving a similar or a substandard brand... and I wouldn't want konga to follow that whacky trend.... emphasis should b made on giving customers exactly what dey ordered for, not something similar..... as a j-force partner with jumia, we have the ability to order on behalf of a third party, and these third parties can go to the pickup station and get their items, konga doesn't have an option for pickup station, I stopped shopping with jumia because of their bad HR.... it's best konga strives to do the direct opposite of what jumia is doing..... people aren't crazy about them anymore, this is the opportunity for u to seize the opportunity and penetrate the market.... and they tend to earn more profit margin from items with low prices, over those with high prices, u need to restrategize to lure Nigerians who are mostly "awufians" to dive into ur market...... I feel I should b paid for this tips...lol...just joking...good night ;Fitness;SHQ;Mobile Web
delivery time and date ;nice work;Computer Software;SHQ;Desktop Web
I placed an order and forgot to use a voucher given me. I called to cancel the . But d item was still delivered to me, despite being assured by customer care that d order was cancelled.   Also, I placed an order 4 waist cincer, size XL but was sent 2 me is size XXL, I called customer  almost emmediately. I was told that an email will be sent to me, giving me instructions on how yo return d item and get d correct one. But am yet to receive such email.  Too bad.;Pls do somthg about ur shipping fee. It's jus too high. It doesn't make sense to buy an item and spend much more 4 shipping or buy several items and spend #1500 to ship  of them  It spoils d shopping experience, quite discouraging.;Women's Wear;SHQ;Mobile Web
Delivery ;Your delivery agent should be apt in delivery your customer's order. ;Mobile Phones;KWK;Desktop Web
the only difficulty is when I'm searching for product, the specifications are not well spelt out I.e limited information about the product  ;konga online store is the best store to me ever and I will always rate you 100% and recommending you. I will also like you to be given more free coupon as well apart from the discount you regularly give to motivating us the more  thanks;Large Appliances;KWK & SHQ;Konga App
I believe you people should always try to check the quality of products other sellers bring online ... Sometimes you see a total different thing when delivered. ;Product quality and also delivery fee being placed on all product is not good since they are under just one order it should be just one fee placed on all and should be delivered together. Please double check on this.  Thank you. ;Sportswear;SHQ;Konga App
must at times Konga deliver faulty product to my office;putting more efforts in your businesses and also help deliver products that is not faulty will help grow your business also thanks.;Hair Centre;SHQ;Desktop Web
;;Mobile Phones;SHQ;Desktop Web
The time of delivery and the high cost of shipping fees not minding what you are buying. The shipping fee seem to be flat irrespective of what one is buying. ;The shipping fee should be reconsidered.   The delivery period should be improved upon.   Customers should, at least, once a while be motivated by way of giving them some incentives and promo. ;Phone and Tablet Accessories;SHQ;Konga App
Update of shipping details   ;I love Konga service it's ok  ;Tablets;SHQ;Desktop Web
Purchase of laptop;Bad service;Laptops;KWK;Desktop Web
At delivery ;;Large Appliances;KWK;Konga App
On my orders;Most items are out if stock and always cancelling order's as well ;Desk Phones and Intercoms;SHQ;Desktop Web
Delivery point;Delivery people should be not disappointing customers. They don't deliver products on agreed time;Personal Care;SHQ;Mobile Web
;;Men's Wear;SHQ;Desktop Web
No;Nothing;Phone and Tablet Accessories;SHQ;Desktop Web
No difficulty at all;Konga beats all other online shops hands down. I am able to say this because I have tested others. Your shipping fee now encourages me to buy more on Konga.  Keep it up;Food;SHQ;Desktop Web
;Your prices r gud, but d shipping fee is not encouraging;Tablets;SHQ;Mobile Web
Nil;Services are perfect;Mobile Phones;SHQ;Desktop Web
Period I placed order and later was told that my products order have been canceled    due to seller not delivery on time  ;KONGA should reduce the delivery fee to riverian areas  of Nigeria  Egusi BONNY RIVERS STATE         ;Generators & Power Supplies;SHQ;Konga App
1. The day a Konga Rep was very rude to me while delivering.  2. When I get products that are either not my exact size or products looking not as I expected.;Shopping will be somewhat sweeter if there is a way to see and try what you are buying physically before you choose...I do not know how possible that is though, since it is online shopping, right?;Women's Shoes;KWK;Desktop Web
none;the last ordre i did was nothing to write home about, most especially the bluetooth headset, within There dans it has stop woking;Watches;SHQ;Mobile Web
Delivery after making the order. ;Improvement in the deliverance please. ;Watches;SHQ;Konga App
;;Musical Equipment;SHQ;Konga App
None;Konga is really trying. Keep it up;Men's Accessories;SHQ;Konga App
;we need a pickup station in Kano;Phone and Tablet Accessories;SHQ;Konga App
Not all;Customers should be allowed to choose payment option. Customers should not be compel to pay with kongapay. Also customers should be adequate protection and guarantee irrespective of payment option they chose.;Sports;SHQ;Mobile Web
When I cancelled and re-ordered, there was no reply initially to confirm my request was received. I was actually lost as to whether to reorder or if the ''cancel of order mail'' suffices.;Responses to customers mail should be given due attention. Warranty for products should be practicable. Fairness in prices of goods should be considered too. ;Large Appliances;KWK;Desktop Web
My order for a shoes and kitchen assesories which is yet to be delivered. ;;Mobile Phones;KWK & SHQ;Desktop Web
the recent suit i ordered was not delivered till date. so sad.;your services is dropping by the day, wake up;Watches;SHQ;Desktop Web
ORDER PERIOD  ;the brand name konga has skyrocketed around the nation due to service quality. i believe the company will maintain its customer relationship.     my suggestion here is that konga should examine and evaluate the product brought by sellers by delegating the products to employed konga experts who know much about the product. Example. a computer expert should examine computer or its accessories brought by the seller before placing it on konga.    the case of my laptop was highly critized by computer engr.    even though profit is the aim of business remember satisfaction is the heart of marketing.    thanks ;Men's Shoes;SHQ;Desktop Web
;;Large Appliances;KWK;Mobile Web
none;;Women's Shoes;SHQ;Konga App
nil;your shipping fees is just too outrageous .  i wanted to buy three things nd you charge #750 per product .is just too much.  pls do something on it;Mobile Phones;KWK;Mobile Web
Products size like shoes. They should be highlighted in UK size format(e.g: 45 or 44) not 9,10 or 11.;Products size like shoes. They should be highlighted in UK size format(e.g: 45 or 44) not 9,10 or ;Men's Shoes;KWK;Mobile Web
registering email;improve on delivery and make it time bound;Large Appliances;KWK;Desktop Web
Delivery time;D delivered response x always kinda slow;Women's Wear;SHQ;Konga App
Web access/navigation is very poor ;Since 2014 when I became an active online shopper, Konga has always been my favourite, that I also recommended Konga online for many friends, family and assiciates. However, just one thing had been very irritating about shopping on Konga, and that is a website and shopping app that is not mobile-friendly, I believe this is a very simple problem that can be fixed by redesigning your Web since more than 70% of Internet users in users in Nigeria access the Web through their mobile devices. ;Watches;SHQ;Mobile Web
At the point of collection  ( KOS Calabar). The Store man at KOS Calabar need to be more organised and improve on customer care.;;Fragrances;SHQ;Konga App
Getting back my money after a cancelled transaction ;Let's try to make refund more speedy ;Mobile Phones;SHQ;Desktop Web
;I will like that, the management of konga should looking into the shipping fee issue per item. is just too alarming, how will i buy like ten different item from konga and i am to pay delivery fee on each item, is just too much. i will be glad if a random fee can be charge at a random price. ;Home Theatres and Audio Systems;KWK;Desktop Web
at my first order, the delivery team missed my address, so I had to leave my home to look for him.;so far, the experience is commendable.;Mobile Phones;KWK;Konga App
The delay;Keep up your pace.;Makeup;SHQ;Konga App
;keep the good job up.;Men's Wear;KWK & SHQ;Desktop Web
;;Cameras;SHQ;Mobile Web
I ordered for 7" Brute Tab. The battery swelled up & forced opend the housing. I contacted you for help not minding the cost of repair, you declined & refused to help. Rather, you directed me to the seller who in turn gave me a difficult condition. I still have the item unrepaired. My daughter who is the owner have not allowed a day rest on it.;You shouldn't bring in any substandard or fake products. Verify the genuineness of any product before you offer it for sale. Work on the delivery fee as is relatively high. Items that are not available at any point in time should not be advertised.;Mobile Phones;SHQ;Mobile Web
the product delivered to me today was of low quality than what I expected;make sure your products are of good quality;Watches;KWK & SHQ;Mobile Web
;I do not have any problem received my order, but my disappoint is I order for portable radio. Polystar pv-sdvd900.they bring pv-sdvd850 and tell me that it's the same thing while the price of pvsdvd850 is 17,999. Price of pvsdcd900 is 20,000. I paid 20,000. And received pv-sdvd850.;DVD Players;SHQ;Konga App
;You product are good but you delivery fees is making product prices high ;Large Appliances;KWK;Desktop Web
nil;make the delivery time shorter.;?Baby Essentials;SHQ;Desktop Web
My App keeps having crashes when I use it sometimes it doesn't work well or follow my instructions it's as if it has a mind of its on. ;I suggest you improve on the Android App and make it easier to upload items and info. I also would want you guys to cut down on the shipping fee I mean I bought a bra @#2500 and had to pay 1500 when I tried to increase the items it wasn't possible. Also try to make an arrangement of your stock based on seller so that we can easily buy similar items from one buyer and not have to just buy separately from different sellers thereby costing us extra on shipping fees. ;Computing Accessories;SHQ;Konga App
;;Large Appliances;KWK;Desktop Web
Confirmation of my order and delivery. If was delivered to another town and I was told to come and get it but I refused, having paid for shipping. ;Konga is really fascinating, keep it up but Pls improve on your delivery arrangements. ;Generators & Power Supplies;SHQ;Mobile Web
When products do not my expectations. ;Please ensure that the  products sold by shop owners who sell though Konga are as advertised in terms of quality and performance. ;Small Appliances;SHQ;Mobile Web
;;Hair Centre;SHQ;Desktop Web
I have challenges ordering the item before the check out window. The point where I had to put in my details (e.g delivery address) as it kept displaying that the item could not be delivered at the specified address. The delivery charge was ridiculous I must say, because it is about 80% of the cost of the item. Secondly I tried registering as a merchant some time back and got discouraged because of lack of communication. I had an issue with my password and got a mail without a link to change it. I sent mails severally asking for a change in password and got no response. I have not had a pleasant experience with Konga I must say and I don't look forward to shopping online at Konga anymore.;I would suggest you give more attention to the items you sell online and ensure the items delivered are exactly as they appear. If there are any deviations or alterations from the original appearance, they should be specified beside the item during purchase so people don't feel they have been deceived into buying something different. Secondly, exceptional customer service sets a company apart from others. This is an area I feel Konga should invest in and train her staff effectively to carry out this function. There is no point having a live chat that doesn't work. Thirdly when the cost of delivery exceeds the cost of an item being bought online, then there is no incentive. Shopping online should be cheaper and convenient. I think Konga should look into the delivery cost critically so she doesn't end up discouraging  her customers from shopping on her platform.;Books;KWK;Desktop Web
Trying to return clothing items. Returns policy not clear for some Sellers. It must be boldly stated that returns aren't possible. Most times the seller is silent on the issue and Konga dosent seem to make it madatory;1) Items need better descriptions/specifications - (a) eg clothing, type of material, care requirements (dryclean? cold wash?), what sizing is being used ie UK or US or something else.  (b) Equipment. Large Items etc - Items with only 1 picture are misleading. Angles are required to get a better  understanding of sizing along with specifications. I bought a cooker and couldnt tell from the picture that the burners were as small as they were when I got my delivery.  (c) Insufficient Descriptions - For quite a few items, specifications weren't sufficient or non - existent. Its difficult to make good decision's with insufficient information. This will cause many more people to return items purchased    (2) After putting an item in your basklet It should be possible to go back to the exact page you stopped on when shopping. Currently you are taken back to the first page of whatever your search group was  (3) Konga has to do a better job of quality checking clothing people put up if that's even possible. There is a lot of poor quality stuff being passed off as what its not  and returns are few and far between on these items.  (4) Theres a section to scroll through similar items being considered usually below whatever item you are looking at. 8 out of 9 items the scroller isn't there for whatever reason and as such you cant take advantage    (5) Comparisons - It would be great if the option of comparing like items was made available. I had to purchase a microwave recently and it was such a tedious task trying to recall or keep tabs on all the specs for the various models I was comparing.  (6) There should be some sort of incentive plan to encourage people to spend time providing quality  reviews on items purchased. Everyone will benefit - konga, the customers, the sellers.    (7) Sellers should not be allowed to cancel an order AFTER it has ben placed becoause they want to raise prices. The only reason this hold be allowed is if they are out of stock and they cannot suddenly "have stock" 2 days or even a few days later at an increased price. It smacks of dishonesty and is a put off;Women's Wear;KWK & SHQ;Desktop Web
My second purchase of a keyboard which necessitated the third purchase was very disappointing. I discovered the 2nd purchase did not work well with the smart tv box which I also got from Konga. I should have been allowed to return the keyboard because I still got the 3rd purchase ordered from Konga. ;You should have sound return policy!;Computing Accessories;SHQ;Mobile Web
No difficulty ;I like it so much then others. ;Mobile Phones;KWK;Desktop Web
During call to the customer help.;I think delivery needs to be coordinated better as I received  a call for a secind delivery a day after I have   received my order. Thanks.;Automotive Parts & Accessories;SHQ;Desktop Web
When an item i bought did not meet the description on their website.  It took them forever to handle the situation and ensure replacement or refund uptil the time of this mail.  This is quite discouraging.;Konga never delivered to me within agreed time frames. ;Large Appliances;KWK;Desktop Web
;Ur owerri dispatch driver is rily disrespectful..... he insults a whole lot;Hair Centre;SHQ;Mobile Web
Delivery time too long;;Generators & Power Supplies;SHQ;Desktop Web
trying to proceed my checkout and talking to a customer rep;delivery should be faster. delivery cost should be reduced. ;Makeup;SHQ;Mobile Web
;;Computing Accessories;SHQ;Desktop Web
Not for now;The price and quality of the product should be look into.;Computing Accessories;SHQ;Desktop Web
Nil;Try to setup product or consumers promotion in your company;Generators & Power Supplies;SHQ;Konga App
;;Mobile Phones;SHQ;Desktop Web
No point;Reduction of shipping fee depending on the area of the buyer not depending on the state;Kitchen and Dining;SHQ;Mobile Web
Not at all;Make provision for alternative contact numbers in case one fails.;Large Appliances;SHQ;Mobile Web
Waiting for the actual delivery ;;Large Appliances;KWK & SHQ;Desktop Web
When trying to edit my profile information. After editing my info, the save button does not work, it just bring you back to the same page without changing anything.;Fix the issue with the website and app in the section that has to do with editing the information on my profile.;Generators & Power Supplies;SHQ;Mobile Web
;;Kitchen and Dining;SHQ;Konga App
;Kindly ensure your sellers deliver exactly what they display ;Home Furnishings;SHQ;Mobile Web
;;Games and Consoles;SHQ;Konga App
Return of faulty items  ;Try to review your shipping fees on some items;Women's Wear;KWK;Desktop Web
None;;Large Appliances;KWK;Konga App
None;;Phone and Tablet Accessories;SHQ;Mobile Web
Delivery to my location;Products should be more specifically described.;Automotive Parts & Accessories;SHQ;Konga App
no;my suggestion you have to rate delivery;Mobile Phones;SHQ;Desktop Web
Delivery, especially when its not Konga but the Vendor delivering the item. Konga please take ownership.;Include warranty forms for sign offs during delivery.;Phone and Tablet Accessories;SHQ;Desktop Web
None;Quality should be no 1 priority you and other sellers should emphasis on;Musical Equipment;SHQ;Mobile Web
Delivery;The prices are a bit high compared to others;Home Theatres and Audio Systems;SHQ;Desktop Web
None ;;Watches;SHQ;Konga App
while trying to order for Kuu spa facial scrub with Goat milk, till now still yet to get any info about it.;Please don't display products unavailable;Personal Care;SHQ;Desktop Web
Last week I ordered for a yam pounder but till this moment it hasn't be delivered ;I suggest that the shipping fee for small items should be lesser,as in an order of 1k downward shoul be lesser in terms of shipping fee ;Phone and Tablet Accessories;SHQ;Konga App
at times the shipping/ transportation is not show on the original price of the order;;Watches;SHQ;Desktop Web
All points ;;Phone and Tablet Accessories;SHQ;Mobile Web
None rather thanks for the voucher. Please reduce your delivery fee     Regards ;Please reduce your delivery fee  ;Women's Wear;SHQ;Desktop Web
Delivery failure;;Watches;SHQ;Mobile Web
When trying to place an order;D site is slow nd i dnt knw when my order has been seen by konga no confirmation call;Alcoholic Beverages & Cigarettes;SHQ;Konga App
None;;Automotive Parts & Accessories;SHQ;Desktop Web
Konga doesn't maintain price. The price tag on the general page is always different from the price on the product page. A highly discouraging factor;Konga dishonors its gifts. I was giving a free delivery coupon which I used and I was still charged delivery fee on all items in the cart separately. Shipped all goods at once, given a different bill at purchase, getting different bills at deliver. Highly discouraging ;Men's Wear;SHQ;Konga App
;I believe there is room for improvement regarding deliveries. Sometimes you say delivery will take 3 to 7 days, but on some occasions it's has reached almost two weeks!;Mobile Phones;KWK;Desktop Web
;;Home Furnishings;SHQ;Desktop Web
None;the compliant i have is the shipping fees. the fees is on the high side. please look into it.;Men's Shoes;SHQ;Desktop Web
No point ;Please reduce your shipping price within the frame of the economy. It helps the customer believe you understand there plights.;Men's Wear;KWK;Desktop Web
The delivery. The company brought my item to my office on a holiday without confirming if I will be around and their response to call is not professional.;Allow for single delivery payment for multiple items.;Men's Wear;KWK & SHQ;Desktop Web
While trying to send the item to my Cart;Konga is good but I believe u guys can stilldo better;Small Appliances;SHQ;Desktop Web
Fast delivery;Try as more as possible to delivery highest three (3) days on Benue State (Gboko);Automotive Parts & Accessories;SHQ;Desktop Web
;;Toys & Activities;SHQ;Desktop Web
Personally;I bought an item but was not shipped;Watches;SHQ;Desktop Web
Selection of products;Sports items are limited or few on konga;Sports;SHQ;Desktop Web
No point whatsoever;;Men's Shoes;SHQ;Desktop Web
I alway love shopping with Konga, infact, Konga is my favorite compared to others but am not happy right now bcos, I placed order since Monday, April 25th 2016 and am yet to receive it??. I should be grooving with my sound system now but yet hasn't been delivered to me. Please, I don't wanna change that good mind set I have for Konga.  Appreciated!!!!!;Konga is the best!!!!!! Please deliver my orders today precisely. Appreciated!!!! Thanks.;Home Theatres and Audio Systems;KWK;Desktop Web
After returning a product (laptop) for replacement (just the second day after the order was delivered) as a result of technical malfunction of the product. And not getting swift response from konga;No customer will be happy buying a brand new product from konga only to discover that the product is faulty. And if after returning the product to get a replacement, he or she doesn't get it in due time without any form of communication to the customer on when the product will be replaced and returned to him or her.. Pls work on this. People Like me are getting scared of ordering online especially from konga.com, Because this is my second time of ordering a laptop that is faulty from factory. ;Laptops;KWK;Mobile Web
konga gave me coupon for #2,000 off free delivery respectively which i used at checkout and it was not effected;I don't know why orders that were made at the same time will come in differrent shipping and charged differently. Is that not exploitation?;Small Appliances;KWK & SHQ;Konga App
None Yet;From experience, I always prefer buying products from Kong directly because of the timely delivery and fantastic prices. These you don't get from the third party companies selling on kong. though still cheaper than other online malls.;Generators & Power Supplies;KWK & SHQ;Desktop Web
;Your delivery fee is very high compared to others. ;Home Furnishings;SHQ;Desktop Web
when i had network issues and clicked on the link for almost 5times and every click was added to my cart.;the delivery rate should be reduced here in lagos;Men's Wear;SHQ;Desktop Web
Delivery, one item was taking so long (6 days) to deliver, and it has not happened before.;The delivery problem I had was from a seller, is it not possible for them to deliver to Kong's and then Konga to now deliver to us customer. Well think about it.;Games and Consoles;SHQ;Mobile Web
No difficulty;;Watches;SHQ;Desktop Web
My difficulty during transaction with konga is when i order for an item that are not sold by konga store, the other merchant always delayed in packaging and shipment of order while konga sold items are very very fast enough.. ;My suggestion is that you guys should always follow up with your merchant and drop any one that is not serious so that it will not crippled your name.   I order two items last week monday, one from konga store and other from another store, on saturday i received the one from konga store but uptil now i have not gotten the other.. So bad.... ;Kitchen and Dining;KWK & SHQ;Desktop Web
When i ordered a sewing machine from luci Mac and had to cancel the order. ;Delivery from sellers should be expedited!!! ;Tools;SHQ;Konga App
;Your customer service is really poor. Konga needs to work on that, you should follow up on customers after order placement at least with a call from the Konga service not Merchants calling the customer;Games and Consoles;SHQ;Desktop Web
;;Mobile Phones;KWK;Mobile Web
Location of my place ;;Large Appliances;KWK;Konga App
;;Watches;SHQ;Konga App
delivery fee is higher.;try and reduce the shipping down.;Small Appliances;KWK & SHQ;Desktop Web
Trying to register with Konga Pay. ;Satisfactory for now. will be on the look out for any shortfall to suggest;Musical Equipment;SHQ;Desktop Web
Delivery;;Women's Wear;KWK;Desktop Web
Delivery is always my point of issue. They will send u a message that your product is in the state capital while it will take between 2-3 days after to deliver same.;Throw out some marketers that are not performing well like the New Age Charger to restore the confidence of the clients,i am still bitter on the last two orders.;Phone and Tablet Accessories;SHQ;Desktop Web
Using coupon code at checkout.;Transaction should be straight forward with integrity.;Men's Shoes;KWK;Desktop Web
My most difficulty is all about the issue placing china made products ;May be ;Mobile Phones;SHQ;Desktop Web
At the point of payment. Changing the payment plan cleared my cart 3 times before I was eventually able to pay;;Women's Wear;SHQ;Desktop Web
none;On the delivery fee, it should be reduced;Mobile Phones;KWK;Desktop Web
Getting a product as described on your web   ;So far you are still No1;Solar & Alternative Energy;SHQ;Konga App
From the suppliers working with konga. They have issues sending or processing my orders.;Done complaining.;Men's Accessories;SHQ;Desktop Web
I had ordered for 9.8 kva gen from Sumr Firman a I had receivd gen of 8.9 kva;I had ordered for 9.8 kva gen from Sumr Firman a I had receivd gen of 8.9 kva;Generators & Power Supplies;SHQ;Desktop Web
When the product arived at collection center;Very interested;Phone and Tablet Accessories;SHQ;Konga App
waiting for my product;better pricing , good quality & better delivery time will be appreciated .;Electronic Accessories;SHQ;Desktop Web
;;Mobile Phones;KWK;Desktop Web
The duretion before delivery;Shorter delivery duration, efficient cart system. ;Laptops;KWK;Mobile Web
